dataset,step,seconds,total_seconds,customers,feature_columns,python_version,platform,outlier_method,knn_reference_limit,knn_batch_size,dataset_role,source_label,note,raw_customer_count
Syn_03,cluster_defining_features,0.3913595000049099,8.456874199968297,15000,212,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,cluster_first_knn,0.7424864000058733,8.456874199968297,15000,212,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,create_top_n_recommendations,0.0394914000062271,8.456874199968297,15000,212,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,evaluate_recommendations,0.028656399983447,8.456874199968297,15000,212,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,create_visualizations,2.1348272999748588,8.456874199968297,15000,212,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_04,load_customer_data,1.3501036000088789,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,build_customer_feature_matrix,0.5537061000359245,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,kmeans_clustering,1.9276843999978155,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,cluster_profile_summary,0.5091757999616675,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,cluster_defining_features,2.933587300009094,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,cluster_first_knn,13.806341799965594,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,create_top_n_recommendations,0.3916991000296548,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,evaluate_recommendations,0.1579204999725334,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,create_visualizations,2.247308799996972,38.41131729999324,125000,83,3.12.6,Windows-11-10.0.26100-SP0,iqr,10000,5000,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
