dataset,customers,clusters,neighbors,feature_columns,outlier_method,knn_reference_limit,knn_batch_size,total_runtime_seconds,recommendation_rows,has_conversion_data,approximate_knn_used_any_cluster,converted_customers,evaluated_conversion_rows,mrr,avg_rank_if_hit,cumulative_hit_rate_at_1,cumulative_hit_rate_at_2,cumulative_hit_rate_at_3,dataset_role,source_label,note,raw_customer_count
Syn_01,235637,6,50,212,iqr,10000,5000,83.97546609997516,687591,True,True,17805,17805,0.581540765702518,1.785591766723842,0.3763549564729008,0.6575119348497613,0.8513338949733221,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_02,135640,6,50,212,iqr,10000,5000,48.89236709999386,395224,True,True,9914,9914,0.504152377109811,1.873858596399687,0.3038127899939479,0.5669759935444826,0.7732499495662699,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_03,15000,6,50,212,iqr,10000,5000,8.456874199968297,43800,True,False,1118,1118,0.5913834227787715,1.7927835051546392,0.3828264758497317,0.6645796064400715,0.8676207513416816,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_04,125000,6,50,83,iqr,10000,5000,38.41131729999324,360301,True,True,8256,8256,0.7314882105943152,1.5356820234869015,0.5686773255813954,0.8057170542635659,0.9385901162790696,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
